season,game_id,period,team,teamCode,shooterName,shotType,xCordAdjusted,yCordAdjusted,shotDistance,shotAngleAdjusted,shotRebound,shotRush,shotOnEmptyNet,homeSkatersOnIce,awaySkatersOnIce,goal
2022,20211,3,HOME,EDM,Player120,WRAP-AROUND,82.2,-21.9,22.9,72.8,0,0,0,3,5,0
2023,20977,3,HOME,VGK,Player121,WRIST,47.5,-13.1,43.5,17.5,0,0,0,5,5,0
2022,20849,2,HOME,TOR,Player122,WRIST,86.3,-0.2,2.7,4.0,0,0,0,5,5,0
2023,20028,3,HOME,VGK,Player123,WRIST,86.5,-2.7,3.7,46.7,0,0,0,5,5,0
2022,21130,1,AWAY,TBL,Player124,WRIST,83.1,11.6,13.1,63.1,0,0,0,5,5,0
2023,20531,1,HOME,CAR,Player125,WRIST,43.0,-13.2,47.8,16.0,0,1,0,6,5,0
2022,20911,3,AWAY,COL,Player126,SNAP,83.9,6.9,8.6,53.3,0,0,0,5,5,0
2023,20350,2,AWAY,NYR,Player127,SLAP,56.1,27.5,42.9,39.9,0,0,0,5,5,0
2023,21293,2,AWAY,VGK,Player128,WRIST,70.8,13.0,22.4,35.5,0,0,0,5,3,0
2022,21299,3,HOME,TOR,Player129,WRIST,71.7,13.9,22.2,38.8,0,0,0,5,5,0
2022,20630,3,HOME,TBL,Player130,TIP-IN,65.5,-20.0,30.9,40.3,0,0,0,5,5,0
2023,20846,3,HOME,BOS,Player131,WRIST,80.3,4.1,9.7,25.3,0,0,0,5,5,0
2023,20771,1,HOME,TBL,Player132,WRIST,82.7,-11.5,13.1,61.2,0,0,0,5,5,0
2023,20113,2,HOME,PIT,Player133,BACKHAND,87.5,7.7,7.8,79.1,0,0,0,5,5,0
2022,20700,1,AWAY,TBL,Player134,WRIST,69.3,8.9,21.6,24.3,0,0,0,5,5,0
2023,21257,1,AWAY,COL,Player135,WRIST,73.5,56.1,58.2,74.5,0,1,0,5,5,0
2022,21292,2,HOME,MTL,Player136,WRIST,86.0,-15.2,15.5,78.8,0,0,0,4,5,0
2022,20691,3,AWAY,NYR,Player137,WRIST,77.6,25.3,27.7,65.6,0,0,0,5,5,0
2023,21227,3,HOME,TBL,Player138,SNAP,69.2,-16.2,25.6,39.2,0,0,0,5,5,0
2023,20209,1,AWAY,EDM,Player139,WRIST,71.4,-14.7,22.9,40.0,0,1,0,5,5,0
2023,20149,2,AWAY,CAR,Player140,WRIST,77.1,-13.4,17.9,48.5,0,0,0,4,5,0
2023,21241,1,HOME,VGK,Player141,WRIST,75.2,-42.1,44.3,71.8,0,0,0,3,4,0
2022,20647,3,AWAY,VGK,Player142,WRAP-AROUND,79.3,-19.3,21.6,63.3,0,0,0,5,5,0
2022,20327,1,HOME,BOS,Player143,BACKHAND,77.1,-8.3,14.5,34.8,1,0,0,5,5,1
2023,20525,3,AWAY,TOR,Player144,WRIST,54.9,-19.3,39.2,29.6,1,0,0,5,4,0
2023,20659,1,AWAY,EDM,Player145,TIP-IN,56.8,7.6,33.1,13.3,0,1,0,5,4,0
2023,20542,3,HOME,TBL,Player146,WRIST,82.4,24.1,25.0,74.8,0,0,0,5,5,0
2022,20961,3,HOME,PIT,Player147,WRIST,70.5,3.3,18.8,10.1,0,0,0,5,5,0
2023,20649,1,AWAY,MTL,Player148,SNAP,57.4,-41.8,52.4,53.0,0,0,0,5,4,0
2023,20864,3,HOME,BOS,Player149,DEFLECTED,73.6,14.0,20.8,42.2,0,0,0,5,5,0
2022,20442,2,HOME,EDM,Player150,BACKHAND,75.4,1.0,13.6,4.1,0,0,0,5,4,0
2023,20007,3,AWAY,EDM,Player151,WRIST,75.1,26.6,30.0,62.3,0,0,0,5,5,0
2022,20340,3,AWAY,BOS,Player152,WRIST,79.4,14.0,17.0,55.7,0,0,0,5,5,0
2022,20616,3,HOME,TBL,Player153,WRIST,68.7,-3.8,20.7,10.7,0,0,0,5,5,1
2023,20390,1,AWAY,PIT,Player154,WRIST,76.2,10.2,16.4,38.5,0,0,0,5,4,0
2023,20413,3,AWAY,TBL,Player155,SLAP,72.4,-8.3,18.6,26.5,1,0,0,5,6,0
2022,21100,3,AWAY,MTL,Player156,WRIST,83.5,1.2,5.7,12.7,0,0,0,5,5,0
2022,21299,2,AWAY,EDM,Player157,WRIST,81.1,8.2,11.4,46.3,0,0,0,5,5,0
2023,20205,2,AWAY,VGK,Player158,WRIST,86.2,11.9,12.2,76.8,0,0,0,5,5,0
2022,20755,3,AWAY,TOR,Player159,SLAP,74.0,-8.7,17.4,30.2,0,0,0,5,5,1
2023,21202,2,HOME,VGK,Player160,SLAP,78.4,22.2,24.6,64.5,0,0,0,5,5,0
2023,21126,2,HOME,PIT,Player161,SNAP,84.1,-8.8,10.1,61.0,0,0,0,5,5,0
2022,20183,2,HOME,MTL,Player162,WRIST,48.6,-53.4,66.9,52.9,0,0,0,5,5,0
2023,20536,2,AWAY,VGK,Player163,SNAP,83.7,18.1,18.8,73.7,0,1,0,5,5,0
2023,20426,2,AWAY,PIT,Player164,WRIST,75.0,22.7,26.7,58.3,0,0,0,3,5,0
2023,20769,2,HOME,VGK,Player165,WRIST,82.3,-6.2,9.1,43.0,0,0,0,5,5,0
2022,20475,1,HOME,CAR,Player166,TIP-IN,83.9,9.6,10.9,62.0,0,0,0,5,5,0
2023,20659,1,AWAY,TOR,Player167,SNAP,68.0,48.4,52.7,66.5,0,0,0,5,5,0
2022,20979,2,HOME,VGK,Player168,WRIST,58.6,-5.5,30.9,10.2,0,0,0,4,6,1
2023,20836,3,AWAY,VGK,Player169,WRIST,70.2,2.1,18.9,6.5,1,0,0,4,5,0
2022,20058,1,AWAY,EDM,Player170,SLAP,82.8,3.6,7.2,30.3,0,1,0,5,6,0
2022,20618,1,HOME,PIT,Player171,WRIST,49.4,-33.0,51.5,39.8,0,0,0,4,5,0
2023,20256,3,HOME,PIT,Player172,DEFLECTED,82.4,8.2,10.5,51.3,0,0,0,5,5,0
2023,20011,3,HOME,TOR,Player173,WRIST,83.5,14.0,15.1,68.4,0,1,0,5,5,0
2022,20223,3,HOME,MTL,Player174,WRIST,76.4,-13.9,18.8,47.8,0,0,0,5,5,0
2023,20848,1,AWAY,COL,Player175,TIP-IN,71.4,19.6,26.3,48.1,0,1,0,5,5,0
2023,20694,2,HOME,TBL,Player176,WRIST,80.7,19.4,21.1,66.9,0,0,0,4,5,0
2022,20005,1,HOME,BOS,Player177,WRIST,71.6,-10.7,20.5,31.7,0,0,0,5,5,0
2023,20180,3,AWAY,COL,Player178,SNAP,38.0,36.1,62.5,35.3,0,0,0,5,5,0
2023,20761,3,HOME,VGK,Player179,WRIST,70.5,-12.7,22.5,34.5,0,0,0,4,5,0
2023,21288,2,HOME,NYR,Player180,WRIST,72.2,-22.3,27.9,53.0,0,0,0,5,5,0
2022,20619,1,AWAY,TOR,Player181,WRIST,82.8,2.9,6.8,25.4,0,0,0,5,5,0
2023,20402,2,AWAY,CAR,Player182,WRIST,80.5,-32.7,33.8,75.5,0,0,0,5,5,0
2022,20475,1,AWAY,PIT,Player183,DEFLECTED,87.3,4.7,5.0,70.4,0,0,0,4,5,0
2022,20344,2,AWAY,TBL,Player184,DEFLECTED,77.5,6.4,13.1,29.2,0,0,0,5,5,1
2022,20198,3,HOME,CAR,Player185,SLAP,61.1,69.4,74.8,68.1,0,0,0,5,5,0
2023,20541,1,HOME,EDM,Player186,WRIST,79.5,-7.5,12.1,38.1,0,0,1,5,4,0
2023,20811,2,AWAY,MTL,Player187,WRIST,74.7,15.2,20.9,46.7,0,1,0,5,5,0
2023,20145,2,AWAY,CAR,Player188,BACKHAND,84.1,-7.2,8.8,55.7,0,1,0,5,5,0
2023,21126,3,AWAY,BOS,Player189,WRIST,81.3,4.2,8.8,28.6,0,0,0,5,5,0
2022,20570,2,AWAY,VGK,Player190,TIP-IN,66.9,35.0,41.4,57.8,0,0,0,5,5,0
2022,20908,2,AWAY,TOR,Player191,SNAP,87.2,15.3,15.4,83.2,0,0,0,5,5,0
2023,20503,2,AWAY,CAR,Player192,SLAP,78.4,-16.7,19.8,57.5,0,0,0,5,5,0
2022,21107,2,AWAY,NYR,Player193,BACKHAND,79.0,-13.8,17.0,54.2,0,1,0,5,3,0
2022,20493,2,AWAY,COL,Player194,SNAP,83.2,-3.1,6.6,28.3,0,0,0,5,5,0
2022,20709,3,HOME,CAR,Player195,WRIST,79.0,16.1,19.0,58.3,0,1,0,5,5,1
2022,20092,1,HOME,BOS,Player196,DEFLECTED,51.5,-14.0,40.0,20.5,0,0,0,4,4,0
2023,20597,2,HOME,MTL,Player197,DEFLECTED,81.5,9.4,12.1,51.4,0,0,0,5,4,0
2023,20510,2,AWAY,TOR,Player198,SLAP,71.5,-21.8,28.0,51.4,0,0,0,5,5,0
2023,20381,1,HOME,CAR,Player199,BACKHAND,48.5,-2.8,40.6,4.0,0,0,0,5,5,0
2022,20378,1,HOME,MTL,Player200,WRIST,82.9,-5.5,8.3,42.2,0,0,0,5,4,0
2023,20509,3,AWAY,EDM,Player201,WRIST,58.6,-19.0,35.8,32.0,0,0,0,3,3,0
2022,21264,3,AWAY,PIT,Player202,WRIST,87.3,-3.6,4.0,65.1,0,0,0,5,5,1
2022,21105,1,AWAY,CAR,Player203,WRIST,69.1,24.7,31.7,51.2,0,1,0,5,5,0
2022,20915,1,HOME,MTL,Player204,SNAP,79.2,-13.3,16.5,53.6,0,0,0,5,5,0
2023,20263,1,AWAY,CAR,Player205,WRIST,81.2,4.4,9.0,29.1,0,0,0,5,5,0
2023,20443,2,AWAY,CAR,Player206,TIP-IN,85.8,-18.9,19.2,80.5,0,0,0,5,4,0
2023,20088,3,AWAY,EDM,Player207,WRIST,78.0,-7.8,13.5,35.5,0,1,0,5,4,0
2022,20535,1,AWAY,MTL,Player208,BACKHAND,85.2,3.6,5.2,43.4,0,0,0,5,5,0
2022,20468,2,AWAY,NYR,Player209,SNAP,76.1,37.4,39.6,70.9,0,0,0,5,5,0
2022,20634,1,AWAY,COL,Player210,WRIST,66.0,34.7,41.6,56.5,0,0,0,5,5,0
2023,20784,2,AWAY,PIT,Player211,TIP-IN,79.4,0.5,9.6,3.2,0,0,0,5,5,0
2023,20127,3,HOME,TBL,Player212,SLAP,81.1,13.4,15.6,59.5,0,0,0,5,4,0
2022,20048,2,AWAY,TBL,Player213,SLAP,75.6,-6.1,14.7,24.5,0,0,0,4,5,0
2022,20104,3,HOME,TBL,Player214,WRIST,75.7,11.3,17.5,40.4,0,0,0,5,6,0
2022,21219,2,HOME,EDM,Player215,TIP-IN,84.4,-6.2,7.7,53.2,0,0,1,5,5,0
2023,20310,2,HOME,BOS,Player216,WRIST,64.8,28.6,37.4,49.7,0,0,0,5,3,0
2022,20349,1,AWAY,EDM,Player217,SLAP,76.8,18.0,21.7,55.8,0,1,0,5,5,0
2022,20429,2,AWAY,EDM,Player218,BACKHAND,84.3,9.1,10.2,62.7,0,0,0,5,5,0
2022,20820,3,HOME,PIT,Player219,WRIST,75.8,6.9,14.9,27.8,0,0,0,5,5,0
2023,20278,3,HOME,NYR,Player220,WRIST,80.7,-8.8,12.1,46.6,0,0,0,5,5,0
2023,21271,2,HOME,TOR,Player221,WRAP-AROUND,75.3,-12.4,18.5,42.2,0,0,0,3,5,0
2023,21042,3,AWAY,PIT,Player222,WRIST,64.9,20.3,31.5,40.1,0,0,0,5,5,0
2023,20781,2,HOME,VGK,Player223,WRIST,63.9,19.5,31.8,37.8,0,0,0,4,5,0
2022,20704,1,AWAY,VGK,Player224,WRIST,82.2,-6.4,9.3,43.2,0,0,0,5,5,1
2023,20226,2,AWAY,CAR,Player225,WRIST,84.4,-22.0,22.4,78.2,0,0,0,4,5,0
2023,21218,3,AWAY,BOS,Player226,BACKHAND,87.4,-10.8,10.9,81.3,0,0,0,5,5,0
2022,21097,1,HOME,TBL,Player227,WRAP-AROUND,85.6,-3.6,4.9,46.8,0,1,0,5,5,0
2023,20407,1,AWAY,COL,Player228,WRIST,83.8,7.8,9.3,56.5,0,0,0,5,5,0
2023,20084,1,HOME,COL,Player229,DEFLECTED,70.1,-8.7,20.8,24.8,0,0,0,5,5,0
2022,20567,1,AWAY,BOS,Player230,SNAP,84.0,-3.5,6.1,35.1,0,0,0,5,4,0
2023,21140,3,AWAY,VGK,Player231,WRIST,85.5,12.0,12.5,73.5,0,1,0,4,5,0
2022,20447,1,HOME,COL,Player232,SLAP,64.2,-12.4,27.7,26.5,0,0,0,5,5,0
2022,20548,2,AWAY,COL,Player233,WRIST,81.9,-10.5,12.7,55.7,0,0,0,5,5,0
2023,20563,2,HOME,NYR,Player234,WRIST,79.7,-8.1,12.3,41.2,0,0,0,5,5,1
2022,20694,1,HOME,PIT,Player235,TIP-IN,82.8,8.2,10.3,52.6,0,0,0,4,4,0
2022,20206,1,AWAY,VGK,Player236,WRIST,85.7,-2.7,4.3,39.5,0,0,0,5,5,1
2022,20612,1,HOME,PIT,Player237,TIP-IN,72.7,5.8,17.3,19.5,0,0,0,5,5,1
2023,20775,3,HOME,EDM,Player238,WRIST,85.5,-20.9,21.2,80.6,0,0,0,5,5,0
2022,21149,3,AWAY,COL,Player239,SNAP,81.4,-21.1,22.4,70.1,0,0,0,4,5,0
2022,20762,2,HOME,PIT,Player240,WRIST,81.4,6.0,9.7,38.0,0,0,0,5,5,0
2022,20895,1,AWAY,VGK,Player241,WRIST,83.1,-8.0,9.9,53.8,0,0,0,4,5,0
2023,20794,2,HOME,COL,Player242,WRIST,76.9,32.4,34.6,69.6,0,0,0,5,5,0
2023,21084,2,HOME,NYR,Player243,TIP-IN,82.3,7.9,10.4,49.9,0,0,0,5,5,0
2022,20262,2,AWAY,EDM,Player244,WRIST,81.3,-15.0,16.9,62.8,0,0,0,5,5,0
2023,20005,1,AWAY,BOS,Player245,SLAP,88.2,-1.8,2.0,65.9,0,0,0,4,5,0
2022,20823,1,HOME,CAR,Player246,DEFLECTED,80.7,4.4,9.4,27.9,0,0,0,5,5,0
2022,21021,2,HOME,TOR,Player247,BACKHAND,80.6,4.2,9.4,26.5,0,0,0,5,5,0
2022,20945,1,AWAY,VGK,Player248,WRIST,84.2,3.9,6.2,39.0,0,0,0,5,5,0
2023,21156,2,AWAY,CAR,Player249,SNAP,51.3,-31.5,49.1,39.8,0,0,0,5,5,0
2022,20900,1,HOME,EDM,Player0,SLAP,74.2,-6.8,16.3,24.8,0,0,0,5,5,0
2022,20431,3,HOME,CAR,Player1,WRIST,88.0,3.9,4.0,76.3,0,1,0,5,5,0
